,ts_code,symbol,name,area,industry,fullname,list_status
1150,002697.SZ,002697,红旗连锁,四川,超市连锁,成都红旗连锁股份有限公司,L
1151,002698.SZ,002698,博实股份,黑龙江,化工机械,哈尔滨博实自动化股份有限公司,L
1152,002699.SZ,002699,美盛文化,浙江,服饰,美盛文化创意股份有限公司,L
1153,002700.SZ,002700,新疆浩源,新疆,供气供热,新疆浩源天然气股份有限公司,L
1154,002701.SZ,002701,奥瑞金,北京,广告包装,奥瑞金科技股份有限公司,L
1155,002702.SZ,002702,海欣食品,福建,食品,海欣食品股份有限公司,L
1156,002703.SZ,002703,浙江世宝,浙江,汽车配件,浙江世宝股份有限公司,L
1157,002705.SZ,002705,新宝股份,广东,家用电器,广东新宝电器股份有限公司,L
1158,002706.SZ,002706,良信电器,上海,电气设备,上海良信电器股份有限公司,L
1159,002707.SZ,002707,众信旅游,北京,旅游服务,众信旅游集团股份有限公司,L
1160,002708.SZ,002708,光洋股份,江苏,汽车配件,常州光洋轴承股份有限公司,L
1161,002709.SZ,002709,天赐材料,广东,化工原料,广州天赐高新材料股份有限公司,L
1162,002711.SZ,002711,*ST欧浦,广东,仓储物流,欧浦智网股份有限公司,L
1163,002712.SZ,002712,思美传媒,浙江,广告包装,思美传媒股份有限公司,L
1164,002713.SZ,002713,东易日盛,北京,装修装饰,东易日盛家居装饰集团股份有限公司,L
1165,002714.SZ,002714,牧原股份,河南,农业综合,牧原食品股份有限公司,L
1166,002715.SZ,002715,登云股份,广东,汽车配件,怀集登云汽配股份有限公司,L
1167,002716.SZ,002716,金贵银业,湖南,小金属,郴州市金贵银业股份有限公司,L
1168,002717.SZ,002717,岭南股份,广东,环境保护,岭南生态文旅股份有限公司,L
1169,002718.SZ,002718,友邦吊顶,浙江,家居用品,浙江友邦集成吊顶股份有限公司,L
1170,002719.SZ,002719,麦趣尔,新疆,乳制品,麦趣尔集团股份有限公司,L
1171,002721.SZ,002721,金一文化,北京,服饰,北京金一文化发展股份有限公司,L
1172,002722.SZ,002722,金轮股份,江苏,纺织机械,金轮蓝海股份有限公司,L
1173,002723.SZ,002723,金莱特,广东,家用电器,广东金莱特电器股份有限公司,L
1174,002724.SZ,002724,海洋王,深圳,半导体,海洋王照明科技股份有限公司,L
1175,002725.SZ,002725,跃岭股份,浙江,汽车配件,浙江跃岭股份有限公司,L
1176,002726.SZ,002726,龙大肉食,山东,食品,山东龙大肉食品股份有限公司,L
1177,002727.SZ,002727,一心堂,云南,医药商业,云南鸿翔一心堂药业(集团)股份有限公司,L
1178,002728.SZ,002728,特一药业,广东,中成药,特一药业集团股份有限公司,L
1179,002729.SZ,002729,好利来,福建,元器件,好利来(中国)电子科技股份有限公司,L
1180,002730.SZ,002730,电光科技,浙江,电气设备,电光防爆科技股份有限公司,L
1181,002731.SZ,002731,萃华珠宝,辽宁,服饰,沈阳萃华金银珠宝股份有限公司,L
1182,002732.SZ,002732,燕塘乳业,广东,乳制品,广东燕塘乳业股份有限公司,L
1183,002733.SZ,002733,雄韬股份,深圳,电气设备,深圳市雄韬电源科技股份有限公司,L
1184,002734.SZ,002734,利民股份,江苏,农药化肥,利民化工股份有限公司,L
1185,002735.SZ,002735,王子新材,深圳,塑料,深圳王子新材料股份有限公司,L
1186,002736.SZ,002736,国信证券,深圳,证券,国信证券股份有限公司,L
1187,002737.SZ,002737,葵花药业,黑龙江,中成药,葵花药业集团股份有限公司,L
1188,002738.SZ,002738,中矿资源,北京,建筑施工,中矿资源集团股份有限公司,L
1189,002739.SZ,002739,万达电影,北京,影视音像,万达电影股份有限公司,L
1190,002740.SZ,002740,爱迪尔,深圳,服饰,深圳市爱迪尔珠宝股份有限公司,L
1191,002741.SZ,002741,光华科技,广东,化工原料,广东光华科技股份有限公司,L
1192,002742.SZ,002742,三圣股份,重庆,其他建材,重庆三圣实业股份有限公司,L
1193,002743.SZ,002743,富煌钢构,安徽,钢加工,安徽富煌钢构股份有限公司,L
1194,002745.SZ,002745,木林森,广东,半导体,木林森股份有限公司,L
1195,002746.SZ,002746,仙坛股份,山东,农业综合,山东仙坛股份有限公司,L
1196,002747.SZ,002747,埃斯顿,江苏,机械基件,南京埃斯顿自动化股份有限公司,L
